1540,1497,43,0,0,1,42
21317,20557,760,7,21,141,591
6535,6245,290,0,31,65,194
4835,4702,133,12,16,28,77
5838,5279,559,346,73,59,81
9221,9003,218,0,9,76,133
959,906,53,19,11,10,13
140684,138030,2654,0,25,623,2006
64611,63682,929,1,4,66,858
2100,2083,17,0,1,1,15
22937,22419,518,6,38,175,299
18391,17597,794,139,133,171,351
15401,15121,280,5,3,36,236
31680,30930,750,1,0,9,740
31700,30973,727,57,85,211,374
7814,7318,496,41,105,146,204
57343,54485,2858,113,453,947,1345
28350,27040,1310,0,12,188,1110
9261,9179,82,0,0,1,81
3102,3088,14,0,0,0,14
1055,1037,18,1,4,5,8
9499,8958,541,36,195,93,217
1904,1884,20,0,0,5,15
16812,16653,159,6,4,46,103
24094,23549,545,6,6,64,469
9384,9284,100,0,0,1,99
23927,23541,386,4,23,90,269
24320,24033,287,0,0,3,284
12958,12910,48,0,0,1,47
45391,44849,542,0,0,5,537
1883,1848,35,0,0,12,23
391784,383904,7880,79,103,749,6949
43724,42733,991,10,1,58,922
2302,2257,45,0,0,3,42
77,71,6,0,0,0,6
14439,14269,170,0,0,4,166
1928,1918,10,0,0,2,8
82641,81522,1119,13,9,130,967
3486,3300,186,46,37,47,56
5917,5864,53,0,0,0,53
89600,87581,2019,15,13,357,1634
108289,100058,8231,1077,955,2448,3751
47198,46074,1124,19,14,258,833
8058,8011,47,0,2,0,45
30458,29826,632,1,15,191,425
1698,1689,9,0,1,2,6
35265,35003,262,2,0,6,254
131406,130142,1264,17,7,28,1212
2793,2651,142,0,2,53,87
12075,9253,2822,1725,571,349,177
2615,2184,431,61,131,119,120
8736,8501,235,0,1,25,209
4352,4078,274,64,38,77,95
7280,6933,347,54,105,102,86
3817,3782,35,0,0,3,32
5640,5631,9,0,0,0,9
12467,12255,212,1,2,77,132
1347,1331,16,0,3,6,7
5765,5695,70,0,0,5,65
3082,3077,5,0,0,1,4
99373,98112,1261,176,140,279,666
66127,65448,679,5,1,8,665
6732,6671,61,1,8,6,46
152602,150622,1980,128,15,117,1720
15571,15256,315,24,42,79,170
3861,3851,10,0,0,0,10
213382,208449,4933,376,335,1014,3208
94756,91178,3578,244,689,1312,1333
42711,40516,2195,59,131,359,1646
16699,15396,1303,157,224,355,567
63858,62222,1636,7,9,349,1271
7808,7702,106,0,3,23,80
4434,4155,279,16,59,92,112
6570,6211,359,12,61,101,185
9492,9276,216,5,20,44,147
17040,16097,943,424,230,141,148
2263,2007,256,12,17,29,198
6909,6657,252,5,7,100,140
1870,1843,27,0,1,8,18
6053,6004,49,0,0,1,48
261387,258562,2825,16,26,360,2423
5606,5459,147,0,0,10,137
4717,4693,24,0,0,1,23
3778,3633,145,0,3,11,131
39124,38583,541,0,0,18,523
15421,14627,794,35,27,329,403
16426,16256,170,0,1,6,163
3727,3623,104,3,15,33,53
100682,86609,14073,2760,1775,3948,5590
1884,1795,89,0,0,20,69
26978,568,26410,21706,2079,1656,969
1498,1008,490,169,150,78,93
30207,3129,27078,19996,2673,2921,1488
86518,25232,61286,34487,9484,9889,7426
9368,9039,329,1,54,109,165
36916,31180,5736,3194,760,867,915
996,788,208,0,0,12,196
783,765,18,0,0,1,17
90189,80279,9910,536,1425,2703,5246
4445,2880,1565,1008,183,224,150
18727,232,18495,13312,1917,2026,1240
102805,56415,46390,29701,4784,6415,5490
41484,14688,26796,15095,4916,4213,2572
14243,302,13941,10487,1507,1362,585
28827,3139,25688,19124,2795,2344,1425
71031,32435,38596,16943,7426,8729,5498
306,297,9,0,0,1,8
1618,149,1469,1197,82,99,91
163036,50735,112301,66397,18278,15758,11868
1624,37,1587,1326,99,90,72
111124,13255,97869,69957,9897,10745,7270
502,20,482,381,28,30,43
626,374,252,152,20,31,49
29417,1640,27777,21742,2515,2177,1343
37833,21678,16155,7416,3124,3488,2127
2581,1998,583,117,111,181,174
133956,22441,111515,97928,2087,3987,7513
725,19,706,572,46,52,36
26874,20058,6816,5463,135,219,999
54707,31368,23339,12079,3997,4116,3147
2874,2344,530,258,75,90,107
41264,2418,38846,27303,4560,4466,2517
547042,437024,110018,64002,2209,6001,37806
44515,1035,43480,29074,5579,5625,3202
